SUMMARY,,,,,,,,,,
all females,,,,,,,all males,,,
id,RANK,PERCENT,ORD,YEAR,,,id,rank,%,ordinal
5B6,1,100,H,2016,,,94O,1,100,H
5P6,2,95.65217391,H,2016,,,43N,2,90.90909091,H
77S,3,93.47826087,H,2016,,,1B7,3,86.36363636,H
8K7,4,91.30434783,H,2016,,,41N,4,81.81818182,H
62S,5,89.13043478,H,2016,,,4N7,5,77.27272727,M
3P7,6,86.95652174,H,2016,,,4J0,6,72.72727273,M
0G3,7,84.7826087,H,2016,,,6I4,7,68.18181818,M
2C0,8,82.60869565,H,2016,,,50P,8,63.63636364,M
0B9,9,80.43478261,H,2016,,,3L6,9,59.09090909,M
6H6,10,78.26086957,H,2016,,,3L5,10,54.54545455,M
48V,11,76.08695652,M,2016,,,4C6,11,50,L
7E3,12,73.91304348,M,2016,,,4N8,12,45.45454545,L
5N1,13,71.73913043,M,2016,,,49Z,13,40.90909091,L
22H,14,69.56521739,M,2016,,,3A6,14,36.36363636,L
20S,15,67.39130435,M,2016,,,8L6,15,31.81818182,L
4J3,16,65.2173913,M,2016,,,0K1,16,27.27272727,L
2E8,17,63.04347826,M,2016,,,5H7,19,13.63636364,L
4J6,18,60.86956522,M,2016,,,9C6,20,9.090909091,L
0M2,19,58.69565217,M,2016,,,1G8,17,22.72727273,L
9I5,20,56.52173913,M,2016,,,60T,18,18.18181818,L
16S,21,54.34782609,M,2016,,,9P6,no information,no information,
7L7,22,52.17391304,M,2016,,,9O0,no information,no information,
8E2,23,50,M,2016,,,3P2,no information,no information,
6B4,24,47.82608696,L,2016,,,1Q8,no information,no information,
9P5,25,45.65217391,L,2016,,,,,,
80S,26,43.47826087,L,2016,,,,,,
94S,27,41.30434783,L,2016,,,,,,
4N5,28,39.13043478,L,2016,,,,,,
3A9,29,36.95652174,L,2016,,,,,,
3N4,30,34.7826087,L,2016,,,,,,
03Z,31,32.60869565,L,2016,,,,,,
7L0,32,30.43478261,L,2016,,,,,,
9N0,33,28.26086957,L,2016,,,,,,
4I9,34,26.08695652,L,2016,,,,,,
65Z,35,23.91304348,L,2016,,,,,,
5J6,36,21.73913043,L,2016,,,,,,
55R,37,19.56521739,L,2016,,,,,,
9I7,38,17.39130435,L,2016,,,,,,
V80,39,15.2173913,L,2016,,,,,,
56R,40,13.04347826,L,2016,,,,,,
2E9,41,10.86956522,L,2016,,,,,,
4L8,42,8.695652174,L,2016,,,,,,
36O,43,6.52173913,L,2016,,,,,,
7E0,44,4.347826087,L,2016,,,,,,
2C7,45,2.173913043,L,2016,,,,,,
5I9,46,0,L,2016,,,,,,
