id,Sex,year_behav,rank,percent,ordinal
94O,M,2016,1,100,H
43N,M,2016,2,90.90909091,H
1B7,M,2016,3,86.36363636,H
41N,M,2016,4,81.81818182,H
4N7,M,2016,5,77.27272727,M
4J0,M,2016,6,72.72727273,M
6I4,M,2016,7,68.18181818,M
50P,M,2016,8,63.63636364,M
3L6,M,2016,9,59.09090909,M
3L5,M,2016,10,54.54545455,M
4C6,M,2016,11,50,L
4N8,M,2016,12,45.45454545,L
49Z,M,2016,13,40.90909091,L
3A6,M,2016,14,36.36363636,L
8L6,M,2016,15,31.81818182,L
0K1,M,2016,16,27.27272727,L
5H7,M,2016,19,13.63636364,L
9C6,M,2016,20,9.090909091,L
1G8,M,2016,17,22.72727273,L
60T,M,2016,18,18.18181818,L
9P6,M,2016,NA,NA,NA
9O0,M,2016,NA,NA,NA
3P2,M,2016,NA,NA,NA
1Q8,M,2016,NA,NA,NA
