,'0K1','1B7','1G8','1Q8','3A6','3L5','3L6','3P2','41N','43N','49Z','4C6','4J0','4N7','4N8','50P','5H7','60T','6I4','8L6','94O','9C6','9O0'
'0K1',0,0,6.8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8385,0,0,0,0,0
'1B7',0,0,0,0,0,0,13.677,0,13.677,0,0,0,6.8385,0,6.8385,0,0,0,13.677,0,0,0,0
'1G8',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1Q8',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'3A6',0,0,0,0,0,0,0,6.4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'3L5',7.2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2408,0,0,0,0,0
'3L6',6.8385,0,0,0,0,6.8385,0,0,0,0,0,13.677,0,0,0,0,0,0,0,0,0,0,0
'3P2',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'41N',0,0,6.8385,0,0,0,13.677,0,0,6.8385,0,6.8385,0,0,0,0,0,0,6.8385,0,0,0,0
'43N',0,19.436,0,0,12.957,0,6.4786,0,6.4786,0,0,0,0,0,6.4786,0,0,0,0,0,0,0,6.4786
'49Z',7.2408,0,7.2408,0,14.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2408,0,0,0
'4C6',6.8385,0,0,6.8385,13.677,0,0,0,0,0,0,0,0,0,6.8385,0,0,0,0,0,0,0,6.8385
'4J0',0,0,0,0,7.2408,0,0,0,0,0,0,0,0,0,0,0,14.482,7.2408,14.482,0,0,0,7.2408
'4N7',0,0,0,0,6.8385,0,0,0,0,0,0,0,6.8385,0,0,0,0,0,0,0,0,0,0
'4N8',0,0,0,0,6.8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'50P',0,0,6.8385,0,13.677,0,6.8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'5H7',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8385,0
'60T',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'6I4',0,0,0,0,6.8385,0,13.677,0,0,0,0,0,0,0,0,13.677,0,6.8385,0,6.8385,0,13.677,0
'8L6',20.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8385,0,0,0,0,0
'94O',0,6.8385,0,0,0,0,6.8385,0,0,6.8385,0,6.8385,0,6.8385,0,0,0,0,0,0,0,0,0
'9C6',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2408
'9O0',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
