Row,03Z,0B9,0G3,0M2,16S,20S,22H,2C0,2C7,2E8,2E9,36O,3A9,3N4,3P7,48V,4I9,4J3,4J6,4L8,4N5,55R,56R,5B6,5I9,5J6,5N1,5P6,62S,65Z,6B4,6H6,77S,7E0,7E3,7L0,7L7,80S,8E2,8K7,94S,9I5,9I7,9N0,9P5,V80
03Z,0,0,0,0,0,0,0,2.00364169114788,0,0,1.7927320394481,0,1.89232826386188,0,0,0,0,0,1.89232826386188,0,0,3.78465652772377,0,0,0,0,0,0,1.89232826386188,0,1.89232826386188,0,0,0,0,10.0182084557394,0,1.89232826386188,3.78465652772377,0,1.89232826386188,1.89232826386188,0,0,0,0
0B9,0,0,6.01092507344363,0,2.00364169114788,7.56931305544754,0,2.00364169114788,0,3.78465652772377,1.7927320394481,0,1.89232826386188,1.89232826386188,0,3.78465652772377,0,12.0218501468873,0,0,0,0,1.89232826386188,2.00364169114788,0,0,0,0,11.3539695831713,0,0,20.8156109024807,2.00364169114788,0,5.67698479158565,0,0,3.78465652772377,1.89232826386188,0,0,1.89232826386188,0,0,0,0
0G3,0,6.01092507344363,0,0,0,3.78465652772377,0,0,0,1.89232826386188,0,0,0,0,0,0,0,4.00728338229576,0,0,0,0,0,0,0,0,0,0,5.67698479158565,3.78465652772377,0,3.78465652772377,0,0,3.78465652772377,0,0,0,1.89232826386188,3.78465652772377,0,0,0,0,0,0
0M2,0,0,0,0,0,0,0,0,0,11.3539695831713,0,0,0,0,0,0,0,2.00364169114788,0,0,0,0,0,0,0,0,0,0,0,0,1.89232826386188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S,0,2.00364169114788,0,0,0,1.89232826386188,0,0,0,0,1.7927320394481,4.00728338229576,1.89232826386188,0,0,0,0,2.00364169114788,1.89232826386188,0,1.7927320394481,0,0,0,0,0,0,2.00364169114788,3.78465652772377,0,0,3.78465652772377,2.00364169114788,0,5.67698479158565,0,2.00364169114788,1.89232826386188,0,0,0,1.89232826386188,0,0,0,0
20S,0,7.56931305544754,3.78465652772377,0,1.89232826386188,0,5.67698479158565,4.00728338229576,1.7927320394481,0,0,0,3.78465652772377,0,0,9.46164131930942,0,18.0327752203309,3.78465652772377,0,0,0,0,6.01092507344363,0,0,0,0,3.78465652772377,1.89232826386188,0,7.56931305544754,8.01456676459151,0,1.89232826386188,0,0,0,1.89232826386188,0,1.89232826386188,3.78465652772377,0,0,0,2.00364169114788
22H,0,0,0,0,0,5.67698479158565,0,2.00364169114788,0,0,0,2.00364169114788,0,0,0,1.89232826386188,1.89232826386188,4.00728338229576,0,4.54158783326852,0,1.89232826386188,3.78465652772377,2.00364169114788,0,0,0,0,3.78465652772377,0,0,1.89232826386188,2.00364169114788,6.38660789053386,3.78465652772377,0,0,1.89232826386188,0,0,0,0,3.78465652772377,0,0,0
2C0,2.00364169114788,2.00364169114788,0,0,0,4.00728338229576,2.00364169114788,0,1.7927320394481,0,0,2.00364169114788,1.89232826386188,0,0,1.89232826386188,0,4.00728338229576,1.89232826386188,0,0,0,1.89232826386188,4.00728338229576,0,0,0,2.00364169114788,0,1.89232826386188,0,3.78465652772377,10.0182084557394,2.12886929684462,1.89232826386188,0,0,0,1.89232826386188,0,3.78465652772377,0,0,0,0,0
2C7,0,0,0,0,0,1.7927320394481,0,1.7927320394481,0,0,0,0,0,0,1.89232826386188,0,0,0,0,0,0,0,0,0,4.25773859368924,0,0,0,0,0,1.89232826386188,0,2.00364169114788,0,1.89232826386188,0,0,0,0,0,1.89232826386188,3.78465652772377,0,0,0,0
2E8,0,3.78465652772377,1.89232826386188,11.3539695831713,0,0,0,0,0,0,0,0,0,0,0,1.89232826386188,0,6.01092507344363,0,0,0,1.89232826386188,0,4.00728338229576,0,0,0,2.00364169114788,1.89232826386188,0,1.89232826386188,5.67698479158565,0,2.12886929684462,3.78465652772377,0,2.00364169114788,5.67698479158565,0,0,0,1.89232826386188,0,0,0,0
