id,rank,percentrank,rc,sex,year
'62S',1,100,0.564490161,F,2016
'5J6',2,97.56097561,0.539877415,F,2016
'48V',3,95.12195122,0.633800025,F,2016
'5B6',4,92.68292683,0.575089635,F,2016
'55R',5,90.24390244,0.487804878,F,2016
'4J3',6,87.80487805,0.507799028,F,2016
'0G3',7,85.36585366,0.568671241,F,2016
'3P7',8,82.92682927,0.491861396,F,2016
'22H',9,80.48780488,0.483388167,F,2016
'2C0',10,78.04878049,0.51278622,F,2016
'80S',11,75.6097561,0.511696903,F,2016
'7E3',12,73.17073171,0.5105453,F,2016
'3A9',13,70.73170732,0.502488557,F,2016
'0B9',14,68.29268293,0.560703875,F,2016
'6B4',15,65.85365854,0.502300605,F,2016
'2E8',16,63.41463415,0.526976998,F,2016
'4J6',17,60.97560976,0.498759102,F,2016
'20S',18,58.53658537,0.539723746,F,2016
'56R',19,56.09756098,0.466398206,F,2016
'4L8',20,53.65853659,0.449046019,F,2016
'77S',21,51.2195122,0.505645059,F,2016
'7L0',22,48.7804878,0.459758395,F,2016
'94S',23,46.34146341,0.478299095,F,2016
'5P6',24,43.90243902,0.486479543,F,2016
'65Z',25,41.46341463,0.487875741,F,2016
'16S',26,39.02439024,0.47313197,F,2016
'9I5',27,36.58536585,0.470461632,F,2016
'7L7',28,34.14634146,0.483833378,F,2016
'8E2',29,31.70731707,0.431885958,F,2016
'6H6',30,29.26829268,0.454710383,F,2016
'9N0',31,26.82926829,0.438556189,F,2016
'2E9',32,24.3902439,0.441112048,F,2016
'8K7',33,21.95121951,0.422038309,F,2016
'7E0',34,19.51219512,0.486488443,F,2016
'2C7',35,17.07317073,0.443659925,F,2016
'5N1',36,14.63414634,0.375232715,F,2016
'36O',37,12.19512195,0.433314349,F,2016
'9I7',38,9.756097561,0.428178886,F,2016
'4N5',39,7.317073171,0.487804878,F,2016
'3N4',40,4.87804878,0.437306221,F,2016
'0M2',41,2.43902439,0.440019403,F,2016
