id,wdeg_prox
'03Z',63.73469671
'0B9',165.4393058
'0G3',60.84208799
'0K1',5.714450253
'0M2',25.88309821
'16S',89.65317851
'1B7',110.9452555
'1G8',8.57167538
'1Q8',9.075891579
'20S',168.4789776
'22H',126.4583073
'2C0',128.5342184
'2C7',46.80143603
'2E8',101.3861568
'2E9',46.69727558
'36O',53.67801616
'3A6',10.9777597
'3A9',90.46147246
'3L5',5.714450253
'3L6',58.15293493
'3N4',31.27909612
'3P2',6.23967546
'3P7',20.01826768
'41N',116.7490494
'43N',146.3797123
'48V',121.8732571
'49Z',29.9168278
'4C6',32.83707995
'4I9',20.16864795
'4J0',47.75347583
'4J3',238.4489268
'4J6',79.07790718
'4L8',25.19997372
'4N5',28.12111046
'4N7',11.59697257
'4N8',28.57225127
'50P',37.14392665
'55R',103.7214739
'56R',66.76662833
'5B6',202.4217948
'5H7',9.096900587
'5I9',87.5766039
'5J6',55.73247603
'5N1',32.963134
'5P6',74.79206949
'60T',25.00071986
'62S',163.7232016
'65Z',75.3172947
'6B4',87.2504114
'6H6',180.6984802
'6I4',51.78720542
'77S',226.2460102
'7E0',123.0077435
'7E3',157.147382
'7L0',30.08489986
'7L7',60.16979972
'80S',91.59927612
'8E2',105.7173297
'8K7',22.85780101
'8L6',8.57167538
'94O',151.4329317
'94S',65.88424998
'9C6',21.17708035
'9I5',88.74205099
'9I7',51.59812434
'9N0',14.28612563
'9O0',0
'9P5',39.32886351
'9P6',8.57167538
'V80',18.15178316
