id,Windeg_agg
'03Z',43.70199775
'0B9',87.4941957
'0G3',104.7393468
'0K1',103.6851319
'0M2',57.50262862
'16S',59.12623225
'1B7',55.96922519
'1G8',73.69356483
'1Q8',14.56733258
'20S',87.5843959
'22H',88.26089741
'2C0',75.40736866
'2C7',163.865579
'2E8',57.50262862
'2E9',99.67122293
'36O',43.70199775
'3A6',190.4126259
'3A9',102.82823
'3L5',28.36796345
'3L6',144.9066241
'3N4',29.99156708
'3P2',28.36796345
'3P7',29.13466517
'41N',42.93529603
'43N',44.55889966
'48V',44.55889966
'49Z',14.56733258
'4C6',58.26933033
'4J0',29.13466517
'4J3',72.92686311
'4J6',58.35953053
'4L8',15.4242345
'4N5',0
'4N7',14.56733258
'4N8',42.93529603
'50P',29.13466517
'55R',74.74777969
'56R',42.93529603
'5B6',14.56733258
'5H7',30.848469
'5J6',178.3427114
'5N1',89.97470125
'5P6',14.56733258
'60T',74.55046675
'62S',59.12623225
'65Z',59.98313416
'6B4',160.3308586
'6H6',45.41580158
'6I4',74.55046675
'77S',15.4242345
'7E0',59.98313416
'7E3',87.4941957
'7L0',29.13466517
'7L7',44.55889966
'80S',119.1093664
'8E2',133.676699
'8K7',76.26427058
'8L6',29.99156708
'94O',15.4242345
'94S',15.4242345
'9C6',43.70199775
'9I5',132.9099973
'9I7',103.6851319
'9N0',72.0699612
'9O0',88.35109761
