agonsim.winner,agonsim.loser,agonsim.type,winner.sex,loser.sex,date,observer,focal.individual,data.source
3L5,JUVMALE,FearGrm,Male,Male,2016-09-12,JN,agonsim.winner,focalfollow
48V,2E9,avoid,Female,Female,2016-09-08,JN,agonsim.winner,focalfollow
4N8,4J3,avoid,Male,Female,2016-08-30,JN,agonsim.winner,focalfollow
3P7,UNKNOWNJUV,threat,Female,NA,2016-09-03,JN,agonsim.winner,focalfollow
3P7,22H,noncontactAgg,Female,Female,2016-09-03,JN,agonsim.winner,focalfollow
5H7,JUVMALE,noncontactAgg,Male,Male,2016-09-07,JN,agonsim.winner,focalfollow
43N,1B7,displace,Male,Male,2016-08-13,JN,agonsim.winner,focalfollow
1B7,UNKNOWNJUV,noncontactAgg,Male,NA,2016-09-27,JN,agonsim.winner,focalfollow
2E8,3A6,displace,Female,Male,2016-08-10,JN,agonsim.winner,focalfollow
2E8,16S,avoid,Female,Female,2016-08-10,JN,agonsim.winner,focalfollow
2E8,INFANT,contactAgg,Female,NA,2016-08-10,JN,agonsim.winner,focalfollow
8L6,0K1,avoid,Male,Male,2016-09-08,JN,agonsim.winner,focalfollow
8L6,0K1,noncontactAgg,Male,Male,2016-09-08,JN,agonsim.winner,focalfollow
8L6,JUVMALE,noncontactAgg,Male,Male,2016-08-31,JN,agonsim.winner,focalfollow
0G3,JUVFEMALE,avoid,Female,Female,2016-08-13,JN,agonsim.winner,focalfollow
50P,1G8,noncontactAgg,Male,Male,2016-08-18,JN,agonsim.winner,focalfollow
9N0,JUVFEMALE,displace,Female,Female,2016-09-28,JN,agonsim.winner,focalfollow
41N,31V,displace,Male,Female,2016-08-23,JN,agonsim.winner,focalfollow
5B6,JUVFEMALE,contactAgg,Female,Female,2016-09-20,JN,agonsim.winner,focalfollow
80S,INFANT,threat,Female,NA,2016-08-16,JN,agonsim.winner,focalfollow
9I5,JUVMALE,noncontactAgg,Female,Male,2016-08-10,JN,agonsim.winner,focalfollow
5B6,INFANT,noncontactAgg,Female,NA,2016-09-20,JN,agonsim.winner,focalfollow
0K1,96Z,threat,Male,Male,2016-09-19,JN,agonsim.winner,focalfollow
3A6,0G3,noncontactAgg,Male,Female,2016-09-21,JN,agonsim.winner,focalfollow
60T,UNKNOWNJUV,noncontactAgg,Male,NA,2016-09-08,JN,agonsim.winner,focalfollow
3A9,JUVMALE,noncontactAgg,Female,Male,2016-10-07,JN,agonsim.winner,focalfollow
9C6,2C7,avoid,Male,Female,2016-10-05,JN,agonsim.winner,focalfollow
5N1,4J3,displace,Female,Female,2016-08-13,JN,agonsim.winner,focalfollow
8L6,INFANT,noncontactAgg,Male,NA,2016-08-08,JN,agonsim.winner,focalfollow
3P7,JUVMALE,noncontactAgg,Female,Male,2016-08-23,JN,agonsim.winner,focalfollow
5H7,JUVMALE,noncontactAgg,Male,Male,2016-10-10,JN,agonsim.winner,focalfollow
0G3,4J6,noncontactAgg,Female,Female,2016-09-27,JN,agonsim.winner,focalfollow
1G8,JUVMALE,threat,Male,Male,2016-08-23,JN,agonsim.winner,focalfollow
80S,9I5,displace,Female,Female,2016-10-10,JN,agonsim.winner,focalfollow
0M2,INFANT,contactAgg,Female,NA,2016-09-21,JN,agonsim.winner,focalfollow
0M2,JUVMALE,FearGrm,Female,Male,2016-09-21,JN,agonsim.winner,focalfollow
0G3,UNKNOWNJUV,noncontactAgg,Female,NA,2016-09-13,JN,agonsim.winner,focalfollow
7L7,80S,threat,Female,Female,2016-10-05,JN,agonsim.winner,focalfollow
9I7,3L6,noncontactAgg,Female,Male,2016-09-21,JN,agonsim.winner,focalfollow
7L7,80S,avoid,Female,Female,2016-10-05,JN,agonsim.winner,focalfollow
7L7,INFANT,threat,Female,NA,2016-10-05,JN,agonsim.winner,focalfollow
94S,JUVFEMALE,contactAgg,Female,Female,2016-08-10,JN,agonsim.winner,focalfollow
3L6,0B9,avoid,Male,Male,2016-09-07,JN,agonsim.winner,focalfollow
62S,INFANT,noncontactAgg,Female,NA,2016-08-17,JN,agonsim.winner,focalfollow
5B6,JUVFEMALE,threat,Female,Female,2016-08-13,JN,agonsim.winner,focalfollow
62S,JUVMALE,noncontactAgg,Female,Male,2016-08-17,JN,agonsim.winner,focalfollow
36O,JUVFEMALE,noncontactAgg,Female,Female,2016-09-20,JN,agonsim.winner,focalfollow
0M2,INFANT,noncontactAgg,Female,NA,2016-09-06,JN,agonsim.winner,focalfollow
22H,JUVFEMALE,avoid,Female,Female,2016-08-10,JN,agonsim.winner,focalfollow
5P6,6H6,displace,Female,Female,2016-09-15,JN,agonsim.winner,focalfollow
4J0,JUVMALE,displace,Male,Male,2016-08-15,JN,agonsim.winner,focalfollow
9I5,UNKNOWNJUV,threat,Female,NA,2016-09-01,JN,agonsim.winner,focalfollow
6I4,80S,noncontactAgg,Male,Female,2016-09-19,JN,agonsim.winner,focalfollow
3P7,22H,noncontactAgg,Female,Female,2016-10-06,JN,agonsim.winner,focalfollow
48V,UNKNOWNJUV,threat,Female,NA,2016-09-01,JN,agonsim.winner,focalfollow
4L8,JUVFEMALE,noncontactAgg,Female,Female,2016-09-20,JN,agonsim.winner,focalfollow
94O,1B7,FearGrm,Male,Male,2016-08-30,JN,agonsim.winner,focalfollow
16S,INFANT,contactAgg,Female,NA,2016-08-08,JN,agonsim.winner,focalfollow
4N5,INFANT,contactAgg,Female,NA,2016-10-06,JN,agonsim.winner,focalfollow
94S,03Z,displace,Female,Female,2016-08-15,JN,agonsim.winner,focalfollow
9O0,2C7,displace,Male,Female,2016-10-05,JN,agonsim.winner,focalfollow
43N,JUVMALE,contactAgg,Male,Male,2016-08-29,JN,agonsim.winner,focalfollow
0G3,INFANT,noncontactAgg,Female,NA,2016-08-16,JN,agonsim.winner,focalfollow
43N,0B9,noncontactAgg,Male,Male,2016-08-29,JN,agonsim.winner,focalfollow
43N,JUVFEMALE,displace,Male,Female,2016-09-19,JN,agonsim.winner,focalfollow
4N7,INFANT,noncontactAgg,Male,NA,2016-08-15,JN,agonsim.winner,focalfollow
3L6,UNKNOWNJUV,contactAgg,Male,NA,2016-09-13,JN,agonsim.winner,focalfollow
7L0,INFANT,noncontactAgg,Female,NA,2016-09-03,JN,agonsim.winner,focalfollow
4N7,UNKNOWNJUV,noncontactAgg,Male,NA,2016-08-15,JN,agonsim.winner,focalfollow
9I5,INFANT,contactAgg,Female,NA,2016-09-14,JN,agonsim.winner,focalfollow
65Z,9I7,avoid,Female,Female,2016-09-03,JN,agonsim.winner,focalfollow
4N7,4J0,avoid,Male,Male,2016-08-29,JN,agonsim.winner,focalfollow
5J6,INFANT,noncontactAgg,Female,NA,2016-09-06,JN,agonsim.winner,focalfollow
6B4,JUVFEMALE,threat,Female,Female,2016-08-08,JN,agonsim.winner,focalfollow
5N1,INFANT,noncontactAgg,Female,NA,2016-10-10,JN,agonsim.winner,focalfollow
1G8,JUVFEMALE,displace,Male,Female,2016-09-03,JN,agonsim.winner,focalfollow
20S,JUVMALE,noncontactAgg,Female,Male,2016-09-26,JN,agonsim.winner,focalfollow
7E3,5I9,FearGrm,Female,Female,2016-09-15,JN,agonsim.winner,focalfollow
1B7,JUVFEMALE,threat,Male,Female,2016-08-31,JN,agonsim.winner,focalfollow
1B7,3A9,noncontactAgg,Male,Female,2016-08-31,JN,agonsim.winner,focalfollow
2E9,INFANT,contactAgg,Female,NA,2016-09-12,JN,agonsim.winner,focalfollow
48V,36O,displace,Female,Female,2016-09-13,JN,agonsim.winner,focalfollow
03Z,INFANT,threat,Female,NA,2016-09-08,JN,agonsim.winner,focalfollow
9N0,62S,noncontactAgg,Female,Female,2016-08-08,JN,agonsim.winner,focalfollow
6H6,2E8,displace,Female,Female,2016-08-17,JN,agonsim.winner,focalfollow
5H7,6B4,displace,Male,Female,2016-08-08,JN,agonsim.winner,focalfollow
5H7,6B4,threat,Male,Female,2016-08-08,JN,agonsim.winner,focalfollow
50P,UNKNOWNJUV,noncontactAgg,Male,NA,2016-09-09,JN,agonsim.winner,focalfollow
48V,56R,threat,Female,Female,2016-08-11,JN,agonsim.winner,focalfollow
6B4,INFANT,threat,Female,NA,2016-09-14,JN,agonsim.winner,focalfollow
3N4,5I9,avoid,Female,Female,2016-08-17,JN,agonsim.winner,focalfollow
5H7,JUVMALE,FearGrm,Male,Male,2016-09-26,JN,agonsim.winner,focalfollow
5J6,INFANT,contactAgg,Female,NA,2016-09-19,JN,agonsim.winner,focalfollow
4N7,62S,displace,Male,Female,2016-09-21,JN,agonsim.winner,focalfollow
5J6,INFANT,noncontactAgg,Female,NA,2016-09-19,JN,agonsim.winner,focalfollow
4N8,2C0,displace,Male,Female,2016-09-06,JN,agonsim.winner,focalfollow
43N,JUVMALE,threat,Male,Male,2016-09-09,JN,agonsim.winner,focalfollow
4N8,3A6,contactAgg,Male,Male,2016-09-06,JN,agonsim.winner,focalfollow
3L6,0K1,avoid,Male,Male,2016-09-21,JN,agonsim.winner,focalfollow
2E8,V80,displace,Female,Female,2016-08-29,JN,agonsim.winner,focalfollow
9N0,INFANT,contactAgg,Female,NA,2016-09-09,JN,agonsim.winner,focalfollow
7L0,JUVMALE,threat,Female,Male,2016-09-23,JN,agonsim.winner,focalfollow
7L0,JUVFEMALE,threat,Female,Female,2016-09-23,JN,agonsim.winner,focalfollow
20S,55R,avoid,Female,Female,2016-08-10,JN,agonsim.winner,focalfollow
48V,7E3,contactAgg,Female,Female,2016-08-22,JN,agonsim.winner,focalfollow
77S,UNKNOWNJUV,contactAgg,Female,NA,2016-09-07,JN,agonsim.winner,focalfollow
77S,0G3,avoid,Female,Female,2016-09-07,JN,agonsim.winner,focalfollow
49Z,1G8,displace,Male,Male,2016-08-30,JN,agonsim.winner,focalfollow
03Z,65Z,avoid,Female,Female,2016-09-27,JN,agonsim.winner,focalfollow
77S,80S,threat,Female,Female,2016-10-06,JN,agonsim.winner,focalfollow
94S,JUVMALE,noncontactAgg,Female,Male,2016-08-29,JN,agonsim.winner,focalfollow
62S,JUVFEMALE,displace,Female,Female,2016-09-03,JN,agonsim.winner,focalfollow
60T,55R,avoid,Male,Female,2016-08-22,JN,agonsim.winner,focalfollow
1B7,JUVFEMALE,avoid,Male,Female,2016-08-08,JN,agonsim.winner,focalfollow
1B7,JUVFEMALE,avoid,Male,Female,2016-08-08,JN,agonsim.winner,focalfollow
3P2,JUVMALE,displace,Male,Male,2016-08-17,JN,agonsim.winner,focalfollow
2C7,INFANT,threat,Female,NA,2016-09-03,JN,agonsim.winner,focalfollow
9C6,INFANT,contactAgg,Male,NA,2016-09-07,JN,agonsim.winner,focalfollow
