groom.giver,groom.reciever,duration,observation.session
8E2,JUVFEMALE,29,09.03.16.8E2.JN.1
43N,94S,112,08.17.16.43N.JN.1
3P7,1B7,28,09.13.16.3P7.JN.1
5I9,2C7,148,08.22.16.5I9.JN.1
0B9,UNKNOWNJUV,211,09.13.16.0B9.JN.1
2C7,77S,22,09.26.16.2C7.JN.1
8K7,65Z,76,09.07.16.8K7.JN.1
2C7,JUVMALE,41,09.26.16.2C7.JN.1
2C0,77S,246,09.20.16.2C0.JN.1
36O,JUVMALE,126,09.14.16.36O.JN.1
55R,JUVMALE,44,08.16.16.55R.JN.1
3N4,3A9,171,08.31.16.3N4.JN.1
55R,JUVMALE,140,08.16.16.55R.JN.1
03Z,6B4,266,08.31.16.03Z.JN.1
55R,JUVMALE,17,08.16.16.55R.JN.1
3N4,3A9,68,08.31.16.3N4.JN.1
4N5,5J6,198,09.08.16.4N5.JN.2
62S,5B6,20,10.05.16.62S.JN.2
65Z,UNKNOWNJUV,168,09.20.16.65Z.JN.2
65Z,JUVMALE,43,09.20.16.65Z.JN.2
5P6,5B6,218,10.05.16.5P6.JN.2
4J0,48V,28,08.08.16.4J0.JN.2
4C6,JUVMALE,312,09.01.16.4C6.JN.2
6B4,1B7,263,09.08.16.6B4.JN.2
0G3,62S,79,09.07.16.0G3.JN.2
62S,6H6,137,10.07.16.62S.JN.2
0B9,JUVMALE,48,08.11.16.0B9.JN.2
0B9,5B6,132,09.08.16.0B9.JN.2
4N8,JUVMALE,210,10.07.16.4N8.JN.2
1Q8,ADULTMALE,108,10.10.16.1Q8.JN.2
9I5,4J3,74,08.29.16.9I5.JN.2
2E9,JUVMALE,54,08.15.16.2E9.JN.2
5P6,JUVFEMALE,27,08.13.16.5P6.JN.2
77S,5B6,175,08.13.16.77S.JN.2
3L6,UNKNOWNJUV,55,08.30.16.3L6.JN.2
4I9,5J6,235,08.11.16.4I9.JN.2
3L6,JUVMALE,75,08.15.16.3L6.JN.2
3L6,UNKNOWNJUV,72,08.30.16.3L6.JN.2
3L6,JUVMALE,98,08.15.16.3L6.JN.2
3L6,20S,32,09.28.16.3L6.JN.2
0B9,6H6,53,09.28.16.0B9.JN.2
V80,56R,207,09.08.16.V80.JN.2
2E9,4L8,81,08.10.16.2E9.JN.2
4J3,UNKNOWNJUV,21,09.07.16.4J3.JN.2
2C0,94O,64,09.01.16.2C0.JN.2
0B9,6H6,39,09.28.16.0B9.JN.2
55R,JUVFEMALE,150,10.10.16.55R.JN.2
9O0,30V,140,10.12.16.9O0.JN.2
55R,JUVFEMALE,14,10.10.16.55R.JN.2
4N5,JUVFEMALE,45,08.23.16.4N5.JN.2
55R,JUVFEMALE,93,10.10.16.55R.JN.2
77S,5B6,141,09.28.16.77S.JN.2
4L8,56R,123,08.11.16.4L8.JN.3
9I7,UNKNOWNJUV,126,09.09.16.9I7.JN.3
2C0,JUVMALE,307,08.23.16.2C0.JN.3
1Q8,0B9,112,09.21.16.1Q8.JN.3
1B7,3A9,319,08.30.16.1B7.JN.3
8E2,JUVFEMALE,117,09.26.16.8E2.JN.3
36O,5J6,34,10.05.16.36O.JN.3
16S,1B7,312,10.10.16.16S.JN.3
5I9,2C7,312,09.07.16.5I9.JN.3
20S,JUVMALE,26,09.12.16.20S.JN.3
20S,UNKNOWNJUV,81,09.12.16.20S.JN.3
20S,JUVMALE,28,09.12.16.20S.JN.3
4N7,JUVFEMALE,119,09.12.16.4N7.JN.3
4N8,2C0,25,09.06.16.4N8.JN.3
3L6,77S,17,09.21.16.3L6.JN.3
4N7,JUVFEMALE,49,09.12.16.4N7.JN.3
2E9,JUVFEMALE,22,08.08.16.2E9.JN.3
55R,JUVFEMALE,185,09.03.16.55R.JN.3
2C0,94O,26,09.13.16.2C0.JN.3
5J6,JUVFEMALE,242,09.08.16.5J6.JN.3
77S,94O,45,10.06.16.77S.JN.3
9I7,UNKNOWNJUV,34,09.12.16.9I7.JN.3
16S,JUVMALE,268,09.08.16.16S.JN.3
4N8,UNKNOWNJUV,177,09.08.16.4N8.JN.3
3L5,JUVMALE,311,10.10.16.3L5.JN.3
77S,JUVFEMALE,221,08.10.16.77S.JN.4
77S,JUVFEMALE,32,08.10.16.77S.JN.4
3L6,1B7,98,08.17.16.3L6.JN.4
3P7,JUVFEMALE,194,09.14.16.3P7.JN.4
50P,9I7,152,09.20.16.50P.JN.4
5J6,JUVMALE,93,09.02.16.5J6.JN.4
V80,49Z,132,10.10.16.V80.JN.4
3P7,1B7,59,09.14.16.3P7.JN.4
