date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
8/8/2016,08.08.16.0G3.JN.6,1,0G3,0G3,rest,NA,14:39:16
8/8/2016,08.08.16.0G3.JN.6,2,0G3,0G3,rest,NA,14:44:17
8/8/2016,08.08.16.0K1.JN.4,1,0K1,0K1,rest,NA,12:53:15
8/8/2016,08.08.16.0K1.JN.4,2,0K1,0K1,rest,NA,12:58:16
8/8/2016,08.08.16.0M2.JN.3,1,0M2,0M2,rest,NA,10:58:30
8/8/2016,08.08.16.0M2.JN.3,2,0M2,0M2,rest,NA,11:03:30
8/8/2016,08.08.16.16S.JN.2,1,16S,16S,rest,NA,09:54:31
8/8/2016,08.08.16.16S.JN.2,2,16S,16S,rest,NA,09:59:32
8/8/2016,08.08.16.1B7.JN.3,1,1B7,1B7,rest,NA,11:21:44
8/8/2016,08.08.16.1B7.JN.3,2,1B7,"1B7, 6H6, 7E3",rest,"rest, rest",11:26:45
8/8/2016,08.08.16.1G8.JN.3,1,1G8,1G8,rest,NA,10:52:17
8/8/2016,08.08.16.1G8.JN.3,2,1G8,1G8,rest,NA,10:57:19
8/8/2016,08.08.16.1Q8.JN.3,1,1Q8,1Q8,social,NA,11:06:54
8/8/2016,08.08.16.1Q8.JN.3,2,1Q8,1Q8,rest,NA,11:11:54
8/8/2016,08.08.16.2E9.JN.3,1,2E9,"2E9, 56R",rest,rest,10:58:28
8/8/2016,08.08.16.2E9.JN.3,2,2E9,2E9,feedplant,NA,11:03:33
8/8/2016,08.08.16.3A6.JN.2,1,3A6,3A6,rest,NA,10:01:18
8/8/2016,08.08.16.3A6.JN.2,2,3A6,3A6,rest,NA,10:06:21
8/8/2016,08.08.16.3A9.JN.3,1,3A9,3A9,feedplant,NA,10:50:02
8/8/2016,08.08.16.3A9.JN.3,2,3A9,3A9,rest,NA,10:55:02
8/8/2016,08.08.16.3L5.JN.2,1,3L5,3L5,travel,NA,09:35:37
8/8/2016,08.08.16.3L5.JN.2,2,3L5,3L5,rest,NA,09:40:39
8/8/2016,08.08.16.3L6.JN.5,1,3L6,3L6,rest,NA,13:25:32
8/8/2016,08.08.16.3L6.JN.5,2,3L6,3L6,rest,NA,13:30:34
8/8/2016,08.08.16.3N4.JN.5,1,3N4,3N4,social,NA,13:50:28
8/8/2016,08.08.16.3N4.JN.5,2,3N4,3N4,feedplant,NA,13:55:25
8/8/2016,08.08.16.3P7.JN.3,1,3P7,3P7,rest,NA,11:05:49
8/8/2016,08.08.16.3P7.JN.3,2,3P7,3P7,rest,NA,11:10:53
8/8/2016,08.08.16.49Z.JN.4,1,49Z,49Z,rest,NA,12:46:25
8/8/2016,08.08.16.49Z.JN.4,2,49Z,49Z,rest,NA,12:51:25
8/8/2016,08.08.16.4C6.JN.1,1,4C6,4C6,rest,NA,09:19:53
8/8/2016,08.08.16.4C6.JN.1,2,4C6,4C6,travel,NA,09:24:57
8/8/2016,08.08.16.4I9.JN.6,1,4I9,4I9,rest,NA,14:16:45
8/8/2016,08.08.16.4I9.JN.6,2,4I9,4I9,feedplant,NA,14:21:46
8/8/2016,08.08.16.4J0.JN.2,1,4J0,"4J0, 48V",rest,rest,09:47:37
8/8/2016,08.08.16.4J0.JN.2,2,4J0,4J0,social,NA,09:52:38
8/8/2016,08.08.16.4J6.JN.4,1,4J6,4J6,rest,NA,12:25:16
8/8/2016,08.08.16.4J6.JN.4,2,4J6,4J6,rest,NA,12:30:17
8/8/2016,08.08.16.4N7.JN.3,1,4N7,4N7,rest,NA,11:19:47
8/8/2016,08.08.16.4N7.JN.3,2,4N7,4N7,travel,NA,11:24:49
8/8/2016,08.08.16.4N8.JN.5,1,4N8,4N8,rest,NA,13:59:49
8/8/2016,08.08.16.4N8.JN.5,2,4N8,4N8,feedplant,NA,14:04:49
8/8/2016,08.08.16.50P.JN.2,1,50P,50P,rest,NA,09:41:22
8/8/2016,08.08.16.50P.JN.2,2,50P,50P,travel,NA,09:46:24
8/8/2016,08.08.16.56R.JN.6,1,56R,56R,travel,NA,14:26:23
8/8/2016,08.08.16.56R.JN.6,2,56R,56R,travel,NA,14:31:23
8/8/2016,08.08.16.5B6.JN.4,1,5B6,5B6,rest,NA,12:59:51
8/8/2016,08.08.16.5B6.JN.4,2,5B6,5B6,rest,NA,13:04:52
8/8/2016,08.08.16.5H7.JN.3,1,5H7,5H7,feedplant,NA,10:41:45
8/8/2016,08.08.16.5H7.JN.3,2,5H7,5H7,rest,NA,10:46:45
8/8/2016,08.08.16.5J6.JN.3,1,5J6,5J6,rest,NA,11:12:20
8/8/2016,08.08.16.5J6.JN.3,2,5J6,5J6,rest,NA,11:17:21
8/8/2016,08.08.16.5N1.JN.6,1,5N1,"5N1, 6B4, 62S",rest,"rest, rest",14:07:53
8/8/2016,08.08.16.5N1.JN.6,2,5N1,5N1,rest,NA,14:12:56
8/8/2016,08.08.16.60T.JN.5,1,60T,60T,rest,NA,13:12:11
8/8/2016,08.08.16.60T.JN.5,2,60T,60T,rest,NA,13:17:12
