,94O,43N,1B7,41N,4N7,4J0,6I4,50P,3L6,3L5,4C6,4N8,49Z,3A6,8L6,0K1,5H7,9C6,1G8,60T,9P6,9O0,3P2,1Q8
94O,,,,,,,,,,,,,,,,,,,,,,,,
43N,1,,,1,,,,,,,,,,,,,,,,,,,,
1B7,1,3,,,,,,,,,,,,,,,,,,,,,,
41N,,1,2,,,,,,,,,,,,,,,,,,,,,
4N7,1,,,,,,,,,,,,,,,,,,,,,,,
4J0,,,1,,1,,,,,,,,,,,,,,,,,,,
6I4,,,2,1,,2,,,,,,,,,,,,,,,,,,
50P,,,,,,,2,,1,,,,,,,,,,,,,,,
3L6,1,1,2,2,,,2,1,,,,,,,,,,,,,,,,
3L5,,,,,,,,,1,,,,,,,,,,,,,,,
4C6,1,,,1,,,,,2,,,,,,,,,,,,,,,
4N8,1,1,1,,,,,,,,1,,,,,,,,,,,,,
49Z,,,,,,,,,,,,,,,,,,,,,,,,
3A6,,2,,,1,1,1,2,,,2,1,2,,,,,,,,,,,
8L6,,,,,,,1,,,,,,1,,,,,,,,,,,
0K1,,,,,,1,,,1,1,1,,1,,3,,,,,,,,,
5H7,,,,,,2,,,,,,,,,,,,,,,,,,
9C6,,,,,,,2,,1,,,,,,,,1,,,,,,,
1G8,,,,1,,,,1,,,,,1,,,1,,,,,,,,
60T,,,,,,1,1,,,1,,,,,1,1,,,,,,,,
9P6,,,,,,,1,,,,,,,1,1,,,,,,,,,
9O0,,1,,,,1,,,,,1,,,,,,,1,,,,,,
3P2,,,,,,,,,,,,,,1,1,,,,,,,,,
1Q8,,,,,,,,,,,1,,,,,,,,,,,,,
