id,Windeg_agg
'0K8',51.75673316
'0M6',55.69145557
'0Q5',69.47674175
'0R2',0
'11Z',101.6974406
'16R',0
'1C5',309.1371064
'1C7',269.4556409
'1E2',165.1541056
'1O7',16.94957343
'1P0',35.51339196
'1P4',33.89914687
'1P5',51.61915546
'1R1',37.21201804
'1S8',0
'24V',90.36103759
'25P',127.3572115
'27J',34.66958202
'2C3',56.12469046
'2C4',95.49943005
'2F2',204.2295193
'2J7',215.8982669
'2M4',16.94957343
'2O4',0
'2R0',17.72000859
'2R9',67.79829373
'37V',158.2235343
'3F5',205.0733292
'3F7',122.7945233
'3G3',153.4450019
'3M3',0
'3O7',0
'3Q3',17.72000859
'3Q9',50.8487203
'3R0',18.56381852
'3R9',0
'44V',164.4278544
'46Z',87.90298257
'4D8',54.07721048
'4F1',121.169272
'4M9',53.23340055
'4P6',33.89914687
'4Q4',0
'4R3',18.56381852
'4R7',16.24334121
'51J',91.20484752
'51V',102.6054535
'55J',36.28382711
'56K',16.94957343
'5H4',0
'5J3',222.7291349
'5K0',84.74786717
'5M5',108.3475125
'60R',85.51830232
'62R',35.51339196
'64S',51.61915546
'6A9',84.74786717
'6C2',147.1185855
'6D4',69.41253882
'6D6',207.684608
'6D9',151.5599176
'6K6',88.90454827
'6L1',192.8289133
'6L3',66.38582928
'6L4',51.61915546
'6M7',16.94957343
'6O7',16.94957343
'73Z',33.89914687
'76J',84.87627303
'7F0',137.9812677
'7I8',140.450329
'7J7',175.9637209
'7O3',84.04163494
'83Z',177.1563847
'86Z',226.4550629
'8C9',162.4003934
'8I9',142.3200341
'8L3',72.56765422
'8O9',18.56381852
'93O',171.8070398
'94H',0
'97Z',67.79829373
'98Z',84.74786717
'99L',106.3934263
'9I8',231.8664527
'9L9',209.0190578
'9N6',52.46296539
'9Q5',33.19291464
