groom.giver,groom.reciever,duration,observation.session
9I8,JUVMALE,14,05.16.17.9I8.JN.1
1P0,8L3,14,05.31.17.1P0.JN.4
1L1,1C5,17,08.09.17.1L1.JN.4
97Z,JUVFEMALE,17,05.22.17.97Z.JN.4
7F0,JUVFEMALE,17,08.31.17.7F0.JN.4
76J,JUVFEMALE,18,08.03.17.76J.JN.4
0M6,6D4,18,08.30.17.0M6.JN.1
0M6,6D4,20,08.30.17.0M6.JN.1
6L4,JUVMALE,21,07.03.17.6L4.JN.4
1S8,JUVMALE,22,05.15.17.1S8.JN.4
25P,JUVFEMALE,22,06.13.17.25P.JN.1
1R7,JUVFEMALE,24,06.23.17.1R7.JN.4
93O,JUVMALE,25,08.10.17.93O.JN.4
2R9,JUVFEMALE,26,06.07.17.2R9.JN.4
62R,JUVMALE,26,08.03.17.62R.JN.4
8C9,1C5,26,06.14.17.8C9.JN.4
5J3,6A9,27,06.19.17.5J3.JN.1
2C3,UNKJUV,27,05.24.17.2C3.JN.4
8C9,51V,28,06.01.17.8C9.JN.4
1L1,1C5,29,08.31.17.1L1.JN.4
24V,8L3,29,08.10.17.24V.JN.1
4Q4,9I8,30,06.23.17.4Q4.JN.4
6D9,76J,30,07.31.17.6D9.JN.4
6D6,JUVFEMALE,31,06.15.17.6D6.JN.4
2C3,JUVMALE,32,05.15.17.2C3.JN.1
16R,JUVFEMALE,33,06.12.17.16R.JN.4
9N6,8I9,34,07.28.17.9N6.JN.4
0J5,JUVMALE,34,07.17.17.0J5.JN.4
24V,2J7,36,08.10.17.24V.JN.1
60R,6K6,36,05.30.17.60R.JN.4
8O9,4D8,36,08.07.17.8O9.JN.1
6D6,UNKJUV,37,05.16.17.6D6.JN.4
7I8,JUVFEMALE,38,08.14.17.7I8.JN.1
83Z,JUVFEMALE,38,08.15.17.83Z.JN.4
6D6,JUVMALE,40,05.16.17.6D6.JN.4
46Z,86Z,40,08.15.17.46Z.JN.1
8L3,JUVFEMALE,41,08.29.17.8L3.JN.4
1O9,83Z,43,05.15.17.1O9.JN.4
6D4,51V,43,06.23.17.6D4.JN.4
0J5,JUVFEMALE,43,05.09.17.0J5.JN.1
37V,JUVFEMALE,43,06.22.17.37V.JN.4
3G3,4R7,44,05.08.17.3G3.JN.1
0J5,JUVFEMALE,45,06.06.17.0J5.JN.1
4R4,JUVFEMALE,47,08.07.17.4R4.JN.1
7J7,24V,47,08.10.17.7J7.JN.4
9I8,JUVFEMALE,48,05.24.17.9I8.JN.4
7O3,JUVFEMALE,49,06.15.17.7O3.JN.4
0J5,JUVFEMALE,49,05.09.17.0J5.JN.1
2C4,JUVFEMALE,50,05.12.17.2C4.JN.4
9N6,83Z,50,07.28.17.9N6.JN.4
6L1,JUVMALE,51,05.23.17.6L1.JN.1
7O3,24V,52,06.09.17.7O3.JN.1
1C7,0J5,52,07.05.17.1C7.JN.4
1S5,JUVMALE,52,08.30.17.1S5.JN.1
24V,JUVFEMALE,52,06.22.17.24V.JN.4
51V,JUVMALE,53,05.31.17.51V.JN.4
1R7,JUVFEMALE,54,07.06.17.1R7.JN.1
51J,JUVMALE,55,08.10.17.51J.JN.4
9H9,93O,56,08.03.17.9H9.JN.4
9L9,UNKJUV,56,06.22.17.9L9.JN.4
1E2,1E2,56,06.05.17.1E2.JN.1
6L1,JUVMALE,56,06.27.17.6L1.JN.4
6D4,JUVFEMALE,58,08.28.17.6D4.JN.1
0M6,99L,58,06.08.17.0M6.JN.1
8O9,2J7,59,05.16.17.8O9.JN.4
9N6,8I9,59,07.28.17.9N6.JN.4
4P6,0J5,61,08.21.17.4P6.JN.4
0Q5,2C4,61,08.07.17.0Q5.JN.4
2C3,JUVFEMALE,61,05.30.17.2C3.JN.1
3Q9,1E2,63,06.29.17.3Q9.JN.1
60R,56K,63,06.22.17.60R.JN.4
49V,JUVMALE,64,08.28.17.49V.JN.1
83Z,2J7,64,07.25.17.83Z.JN.1
49V,1C7,66,06.13.17.49V.JN.4
8O9,4D8,68,05.09.17.8O9.JN.1
0J5,JUVMALE,68,07.17.17.0J5.JN.4
0J5,UNKJUV,68,08.22.17.0J5.JN.4
8L3,5H4,68,08.16.17.8L3.JN.1
2J7,62R,68,05.25.17.2J7.JN.4
7I8,JUVMALE,71,06.06.17.7I8.JN.1
6D6,4F1,73,05.16.17.6D6.JN.4
2C4,JUVFEMALE,73,05.30.17.2C4.JN.4
4F1,94H,73,07.31.17.4F1.JN.1
83Z,83Z,76,08.31.17.83Z.JN.1
1R1,6D6,77,07.06.17.1R1.JN.4
24V,8L3,78,08.09.17.24V.JN.4
8O9,4D8,78,05.25.17.8o9.JN.4
97Z,JUVMALE,79,08.21.17.97Z.JN.4
2C4,5H4,80,08.29.17.2C4.JN.4
4D8,JUVFEMALE,81,08.15.17.4D8.JN.1
5H4,4D8,81,08.09.17.5H4.JN.1
4Q4,JUVMALE,83,06.23.17.4Q4.JN.4
9H9,JUVMALE,84,08.28.17.9H9.JN.1
2M4,UNKJUV,84,08.03.17.2M4.JN.4
24V,62R,85,05.30.17.24V.JN.1
6D9,UNKJUV,85,07.31.17.6D9.JN.4
1C5,JUVMALE,86,06.12.17.1C5.JN.4
51V,76J,86,08.08.17.51V.JN.4
2R9,JUVMALE,87,05.15.17.2R9.JN.1
0K8,JUVMALE,88,06.23.17.0K8.JN.4
3F5,6D9,88,06.21.17.3F5.JN.1
2F2,83Z,89,06.05.17.2F2.JN.4
7F0,JUVFEMALE,89,08.29.17.7F0.JN.4
1C5,JUVMALE,90,06.12.17.1C5.JN.4
4R3,JUVMALE,91,06.07.17.4R3.JN.4
1C7,7J7,92,08.30.17.1C7.JN.4
9N6,94H,92,07.28.17.9N6.JN.4
9I8,JUVMALE,93,07.05.17.9I8.JN.4
6L1,JUVMALE,93,05.23.17.6L1.JN.1
8I9,JUVFEMALE,94,07.31.17.8I9.JN.1
37V,JUVFEMALE,95,06.13.17.37V.JN.4
1R7,JUVFEMALE,95,06.23.17.1R7.JN.4
7J7,JUVMALE,98,06.05.17.7J7.JN.1
86Z,JUVFEMALE,101,06.05.17.86Z.JN.1
24V,62R,101,05.30.17.24V.JN.1
1O9,6C2,101,07.06.17.1O9.JN.4
83Z,JUVMALE,101,06.13.17.83Z.JN.4
1M8,37V,101,05.22.17.1M8.JN.4
51J,JUVMALE,103,08.30.17.51J.JN.4
27N,62R,104,06.14.17.27N.JN.1
2F2,JUVFEMALE,104,06.05.17.2F2.JN.4
2J7,25P,104,08.22.17.2J7.JN.4
7F0,49V,105,08.10.17.7F0.JN.1
6M7,44V,106,07.03.17.6M7.JN.4
5Q7,60R,107,05.23.17.5Q7.JN.1
9N6,62R,108,06.15.17.9N6.JN.4
1R7,JUVFEMALE,108,07.06.17.1R7.JN.1
9H9,JUVMALE,109,06.22.17.9H9.JN.4
3F5,76J,110,08.11.17.3F5.JN.1
83Z,6C2,110,08.15.17.83Z.JN.4
6M7,JUVFEMALE,111,07.06.17.6M7.JN.1
8C9,JUVMALE,111,08.30.17.8C9.JN.4
0Q5,JUVMALE,111,05.24.17.0Q5.JN.4
9I8,JUVFEMALE,112,05.24.17.9I8.JN.4
9H9,JUVMALE,112,06.22.17.9H9.JN.4
6C2,JUVMALE,113,06.27.17.6C2.JN.4
6D4,JUVFEMALE,113,07.20.17.6D4.JN.4
93O,6D4,113,08.09.17.93O.JN.1
4P6,44V,115,05.25.17.4P6.JN.4
24V,8L3,116,08.09.17.24V.JN.4
9I8,JUVMALE,117,06.05.17.9I8.JN.4
1E2,JUVFEMALE,120,07.28.17.1E2.JN.4
3O7,8L3,121,05.16.17.3O7.JN.4
37V,3G3,125,08.30.17.37V.JN.4
4R4,8C9,128,05.08.17.4R4.JN.4
24V,8L3,132,07.25.17.24V.JN.1
7O3,24V,133,06.15.17.7O3.JN.4
4P6,44V,133,05.11.17.4P6.JN.4
5H4,4F1,134,08.31.17.5H4.JN.4
3F5,2C4,135,07.20.17.3F5.JN.4
5H4,83Z,135,07.20.17.5H4.JN.4
7F0,JUVMALE,136,05.08.17.7F0.JN.1
2F2,JUVFEMALE,137,08.10.17.2F2.JN.4
6C2,46Z,139,05.30.17.6C2.JN.1
51J,JUVFEMALE,139,08.30.17.51J.JN.4
7I8,76J,139,07.17.17.7I8.JN.4
4M9,6A9,141,05.23.17.4M9.JN.1
9H9,JUVMALE,141,06.05.17.9H9.JN.4
27N,76J,143,08.15.17.27N.JN.1
24V,JUVFEMALE,144,08.16.17.24V.JN.1
27J,1E2,145,07.17.17.27J.JN.1
7Q3,JUVMALE,146,06.07.17.7Q3.JN.4
7I8,JUVMALE,149,06.13.17.7I8.JN.4
2F2,JUVMALE,150,06.12.17.2F2.JN.4
1L1,1C5,153,08.31.17.1L1.JN.4
4P6,44V,153,05.11.17.4P6.JN.4
2J7,27N,153,05.22.17.2J7.JN.4
4R4,JUVFEMALE,154,08.07.17.4R4.JN.1
7J7,JUVMALE,155,06.05.17.7J7.JN.1
56K,55J,157,06.27.17.56K.JN.4
37V,98Z,162,07.03.17.37V.JN.1
6L1,JUVMALE,163,06.13.17.6L1.JN.4
2C3,JUVFEMALE,166,06.06.17.2C3.JN.4
7F0,93O,167,06.07.17.7F0.JN.4
6D9,JUVMALE,167,06.13.17.6D9.JN.4
1M8,98Z,168,07.06.17.1M8.JN.4
9N6,62R,168,06.15.17.9N6.JN.4
62R,2J7,169,06.23.17.62R.JN.4
9I8,JUVFEMALE,173,08.21.17.9I8.JN.4
4R7,3G3,173,05.31.17.4R7.JN.4
3M3,4F1,174,06.07.17.3M3.JN.4
1R1,6D6,174,05.12.17.1R1.JN.4
9L9,49V,175,06.13.17.9L9.JN.4
3F7,JUVMALE,177,06.22.17.3F7.JN.1
8L3,7J7,177,07.17.17.8L3.JN.4
3F5,6D6,182,07.05.17.3F5.JN.4
8C9,JUVFEMALE,182,06.14.17.8C9.JN.4
7F0,76J,184,07.31.17.7F0.JN.1
9Q5,3F7,187,06.15.17.9Q5.JN.4
11Z,JUVFEMALE,188,06.14.17.11Z.JN.4
3F7,JUVFEMALE,190,08.30.17.3F7.JN.4
46Z,86Z,192,08.15.17.46Z.JN.1
1E2,JUVFEMALE,195,06.05.17.1E2.JN.1
8O9,8L3,197,07.28.17.8O9.JN.4
6A9,49V,198,06.12.17.6A9.JN.4
86Z,JUVFEMALE,201,06.06.17.86Z.JN.4
1S8,JUVMALE,202,05.15.17.1S8.JN.4
0Q5,JUVFEMALE,207,05.30.17.0Q5.JN.1
5Q7,JUVFEMALE,208,05.12.17.5Q7.JN.1
1P4,16R,209,05.24.17.1P4.JN.4
1S8,2C3,209,05.10.17.1S8.JN.1
8O9,2J7,209,05.16.17.8O9.JN.4
4F1,UNKJUV,212,07.20.17.4F1.JN.4
5H4,4D8,216,07.18.17.5H4.JN.4
0M6,99L,219,05.08.17.0M6.JN.4
2R0,JUVMALE,219,06.23.17.2R0.JN.4
6D4,73Z,221,06.05.17.6D4.JN.4
49V,9L9,221,05.12.17.49V.JN.4
4D8,UNKJUV,222,05.31.17.4D8.JN.4
8I9,27N,230,08.16.17.8I9.JN.4
7Q3,JUVMALE,231,05.22.17.7Q3.JN.4
27J,1E2,233,06.27.17.27J.JN.4
1R1,JUVMALE,234,05.22.17.1R1.JN.1
44V,37V,237,06.13.17.44V.JN.4
4R3,JUVMALE,238,07.28.17.4R3.JN.1
7F0,JUVMALE,243,06.19.17.7F0.JN.4
4P6,JUVMALE,257,06.23.17.4P6.JN.4
3O7,JUVFEMALE,257,05.24.17.3O7.JN.1
8I9,83Z,262,08.22.17.8I9.JN.4
4R3,JUVMALE,263,05.11.17.4R3.JN.1
5H4,JUVMALE,263,06.05.17.5H4.JN.4
0J5,2C4,271,08.21.17.0J5.JN.4
27J,6D6,271,06.05.17.27J.JN.4
6C2,JUVMALE,276,07.20.17.6C2.JN.1
5H4,6D9,280,06.23.17.5H4.JN.4
25P,JUVFEMALE,280,05.30.17.25P.JN.1
3O7,JUVMALE,290,08.03.17.3O7.JN.4
1O9,0K8,291,07.28.17.1O9.JN.4
5Q7,99L,291,08.07.17.5Q7.JN.1
11Z,JUVMALE,304,05.24.17.11Z.JN.4
51V,JUVMALE,308,05.15.17.51V.JN.1
60R,JUVMALE,309,05.25.17.60R.JN.1
6A9,6D4,309,05.24.17.6A9.JN.4
3Q9,JUVMALE,310,07.17.17.3Q9.JN.4
5H4,JUVMALE,310,05.25.17.5H4.JN.1
1C7,98Z,310,06.01.17.1C7.JN.4
64S,JUVMALE,311,06.22.17.64S.JN.4
2J7,62R,311,06.06.17.2J7.JN.4
51V,JUVMALE,311,06.01.17.51V.JN.4
76J,62R,311,07.05.17.76J.JN.4
51J,86Z,312,05.24.17.51J.JN.4
5Q7,JUVMALE,312,06.09.17.5Q7.JN.1
8L3,JUVMALE,313,06.19.17.8L3.JN.4
4P6,3G3,313,05.23.17.4P6.JN.1
1L1,JUVFEMALE,313,06.07.17.1L1.JN.1
51J,JUVFEMALE,313,05.09.17.51J.JN.4
44V,3G3,313,06.27.17.44V.JN.4
1O7,51J,313,05.09.17.1O7.JN.1
37V,6L1,314,05.23.17.37V.JN.1
1C5,2C3,314,05.08.17.1C5.JN.4
2R9,6C2,315,05.31.17.2R9.JN.4
51V,8L3,315,08.28.17.51V.JN.4
64S,73Z,316,08.16.17.64S.JN.1
4Q4,27N,316,05.12.17.4Q4.JN.4
1S5,JUVMALE,316,07.03.17.1S5.JN.4
51V,JUVMALE,317,05.11.17.51V.JN.4
2C3,JUVFEMALE,318,07.31.17.2C3.JN.4
2J7,5H4,319,07.17.17.2J7.JN.4
1E2,JUVFEMALE,319,08.31.17.1E2.JN.4
98Z,37V,319,06.26.17.98Z.JN.1
1P4,8L3,320,07.06.17.1P4.JN.4
11Z,98Z,325,08.21.17.11Z.JN.4
8L3,JUVMALE,334,07.20.17.8L3.JN.4
0K8,JUVMALE,335,06.26.17.0K8.JN.4
