"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1244","0G3|2016","0G3",2016,"HH",14.36,256.41,"Female",8.8,84.7826087,85.36585366,0.568671241,1.561,0.813,0.016071357,0.005,0.01,0.01,60.84208799,104.7393468
"1245","0K1|2016","0K1",2016,"HH",27.07,242.11,"Male",6.8,27.27272727,25,0.251690768,NA,NA,4.39e-07,NA,NA,NA,5.714450253,103.6851319
"1246","0M2|2016","0M2",2016,"HH",9.7,213.48,"Female",5.9,58.69565217,4.87804878,0.437306221,NA,NA,0.004531989,NA,NA,NA,25.88309821,57.50262862
"1247","16S|2016","16S",2016,"HH",11.02,218.12,"Female",14.8,56.52173913,39.02439024,0.47313197,3.19,0,0.018246364,0.022,0,0,89.65317851,59.12623225
"1248","1B7|2016","1B7",2016,"HH",15.29,227.39,"Male",10.8,86.36363636,87.5,0.787344426,NA,NA,0.020970524,NA,NA,NA,110.9452555,55.96922519
"1249","1G8|2016","1G8",2016,"HH",11.27,198.03,"Male",7.7,22.72727273,4.166666667,0.231668426,NA,NA,0.000429593,NA,NA,NA,8.57167538,73.69356483
"1250","1Q8|2016","1Q8",2016,"HH",27.73,240.37,"Male",4,NA,29.16666667,0.396791101,NA,NA,0.003307574,NA,NA,NA,9.075891579,14.56733258
"1251","2E9|2016","2E9",2016,"HH",36.19,174.93,"Female",9.9,13.04347826,26.82926829,0.438556189,1.913,2.552,0.004279564,0.016,0,0,46.69727558,99.67122293
"1252","3A6|2016","3A6",2016,"HH",25.56,167.3,"Male",11.8,36.36363636,37.5,0.271517562,NA,NA,0.001864213,NA,NA,NA,10.9777597,190.4126259
"1253","3A9|2016","3A9",2016,"HH",14,177.32,"Female",11.7,39.13043478,70.73170732,0.502488557,0.895,4.203,0.017020422,0.026,0,0.005,90.46147246,102.82823
"1254","3L5|2016","3L5",2016,"HH",16.6,227.39,"Male",5.7,54.54545455,33.33333333,0.397226467,NA,NA,0.00055902,NA,NA,NA,5.714450253,28.36796345
"1255","3L6|2016","3L6",2016,"HH",36.83,220.97,"Male",5.8,59.09090909,66.66666667,0.561568067,NA,NA,0.011204847,NA,NA,NA,58.15293493,144.9066241
"1256","3N4|2016","3N4",2016,"HH",12.51,231.52,"Female",4.8,36.95652174,7.317073171,0.487804878,NA,NA,0.00487247,NA,NA,NA,31.27909612,29.99156708
"1257","3P7|2016","3P7",2016,"HH",41.45,265.28,"Female",4,86.95652174,82.92682927,0.491861396,NA,NA,0.004866441,NA,NA,NA,20.01826768,29.13466517
"1258","49Z|2016","49Z",2016,"HH",22.93,186.5,"Male",11.7,40.90909091,70.83333333,0.624305327,NA,NA,0.002191626,NA,NA,NA,29.9168278,14.56733258
