animal	SEX	group 	birthseason	year	Idcode	notes	IDYEAR	obs/yr
0E1	f	R	2007	2015	51	0E1	0E12015	3.833333333
0E2	f	R	2007	2015	52	0E2	0E22015	4
0E3	M	F	2007	2013	53	0E3	0E32013	2.166666667
0E3	M	V	2007	2015	53	0E3	0E32015	1.833333333
0E3	M	F	2007	2014	53	0E3	0E32014	1.833333333
0E8	m	R	2007	2015	58	0E8	0E82015	3.833333333
00J	F	F	1998	2012	10		00J2012	3.333333333
00J	F	F	1998	2010	10		00J2010	4
00J	F	F	1998	2011	10		00J2011	5.166666667
00J	F	F	1998	2013	10		00J2013	9.833333333
00J	F	F	1998	2015	10		00J2015	6
00J	F	F	1998	2014	10		00J2014	9
00J	F	F	1998	2016	10		00J2016	6.666666667
00J	f	F	1998	2017	10		00J2017	1.166666667
00O	F	F	2000	2010	15		00O2010	3.5
00O	F	F	2000	2012	15		00O2012	3.5
00O	F	F	2000	2011	15		00O2011	5.166666667
00O	F	F	2000	2013	15		00O2013	10
00O	F	F	2000	2015	15		00O2015	6
00O	F	F	2000	2014	15		00O2014	8.333333333
00O	F	F	2000	2016	15		00O2016	6.5
00O	f	F	2000	2017	15		00O2017	4.166666667
00V	F	V	2004	2015	22		00V2015	4.666666667
00V	f	V	2004	2016	22		00V2016	6.166666667
00V	f	V	2004	2017	22		00V2017	3
01I	#N/A	KK	#N/A	2015		correct ID? Check with Emily	01I2015	
01K	m	R	1999	2015	111		01K2015	4
01K	m	R	1999	2016	111		01K2016	1.833333333
03J	F	F	1998	2016	310		03J2016	1
03J	F	F	1998	2012	310		03J2012	3.5
03J	F	F	1998	2010	310		03J2010	4.333333333
03J	F	F	1998	2011	310		03J2011	5.166666667
03J	F	F	1998	2013	310		03J2013	9
03J	F	F	1998	2015	310		03J2015	1
03J	F	F	1998	2014	310		03J2014	8.5
03N	M	S	2000	2011	314		03N2011	5.333333333
03Z	F	HH	2004	2014	326		03Z2014	8
03Z	f	HH	2004	2016	326	rapid data collection protocol - culled group in Oct 2016	03Z2016	1.416666667
04I	M	F	1998	2012	409		04I2012	3.666666667
04I	M	F	1998	2010	409		04I2010	4.333333333
04I	M	F	1998	2011	409		04I2011	5.166666667
04I	M	F	1998	2013	409		04I2013	9.166666667
04I	M	F	1998	2015	409		04I2015	6
04I	M	F	1998	2014	409		04I2014	8.5
04I	m	R	1998	2016	409		04I2016	4.833333333
04N	F	F	2000	2012	414		04N2012	3.666666667
04N	F	F	2000	2010	414		04N2010	4.333333333
04N	F	F	2000	2011	414		04N2011	5.166666667
04N	F	F	2000	2013	414		04N2013	9.833333333
04N	F	F	2000	2015	414		04N2015	6
04N	F	F	2000	2014	414		04N2014	8.5
04N	F	F	2000	2016	414		04N2016	6.5
04N	f	F	2000	2017	414		04N2017	4.333333333
04T	M	F	2003	2010	420		04T2010	3.5
04T	M	F	2003	2011	420		04T2011	5.166666667
04T	M	V	2003	2015	420		04T2015	1.333333333
04T	m	V	2003	2016	420		04T2016	6
04T	m	V	2003	2017	420		04T2017	3.333333333
04Z	M	F	2004	2016	426		04Z2016	1
04Z	M	F	2004	2012	426		04Z2012	3.666666667
04Z	M	F	2004	2013	426		04Z2013	5.5
04Z	m	F	2004	2017	426		04Z2017	3.166666667
05I	M	F	1998	2011	509	died	05I2011	1.5
05I	M	F	1998	2010	509		05I2010	4.333333333
05Z	M	S	2005	2011	526		05Z2011	4.166666667
06O	M	V	2000	2015	615		06O2015	4.333333333
06O	m	V	2000	2016	615		06O2016	4
07D	M	F	1995	2010	704		07D2010	3.833333333
07D	M	F	1995	2012	704		07D2012	4
07D	M	F	1995	2011	704		07D2011	5
07D	M	F	1995	2013	704		07D2013	9.666666667
07D	M	F	1995	2015	704		07D2015	5.833333333
07D	M	F	1995	2014	704		07D2014	8.333333333
07D	M	F	1995	2016	704		07D2016	6.5
07D	m	F	1995	2017	704		07D2017	4.166666667
07T	M	F		2011	720	emigrated	07T2011	0.5
09Z	f	R	2004	2015	926		09Z2015	3.833333333
09Z	f	R	2004	2016	926		09Z2016	4.833333333
0A2	f	R	2005	2015	12		0A22015	3.833333333
0A4	F	F	2005	2012	14		0A42012	3.666666667
0A4	F	F	2005	2011	14		0A42011	5
0A4	F	F	2005	2013	14		0A42013	9.5
0A4	F	F	2005	2015	14		0A42015	6
0A4	F	F	2005	2014	14		0A42014	8.5
0A4	F	F	2005	2016	14		0A42016	6
0A4	f	F	2005	2017	14		0A42017	4.333333333
0A9	F	F	2005	2012	19		0A92012	3.5
