"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"45Z","5J1","aggression","F","F","2017-10-26","JN","scan","agonsim.winner","AM"
"5C6","JM","aggression","F","F","2017-10-26","JN","scan","agonsim.winner","AM"
"3I9","73S","aggression","M",NA,"2017-10-26","JN","scan","agonsim.winner","AM"
"3I6","5K8","aggression","M","M","2017-10-26","JN","scan","agonsim.winner","AM"
"0I9","6B8","aggression","M",NA,"2017-10-26","JN","scan","agonsim.winner","AM"
"1D5","JF","aggression","M",NA,"2017-10-27","JN","scan","agonsim.winner","AM"
"2K6","1I5","aggression","F","F","2017-10-30","JN","scan","agonsim.loser","AM"
"4E2","9K9","aggression","M",NA,"2017-10-30","JN","scan","agonsim.winner","AM"
"1D5","4C5","aggression","M",NA,"2017-10-30","JN","scan","agonsim.winner","AM"
"1B1","3D9","aggression","M",NA,"2017-10-30","JN","scan","agonsim.winner","AM"
"1K1","0F0","aggression",NA,"F","2017-10-31","JN","scan","agonsim.loser","AM"
"0M1","2K6","aggression","F","M","2017-11-02","JN","scan","agonsim.loser","AM"
"14E","7K8","aggression","F",NA,"2017-11-02","JN","scan","agonsim.winner","AM"
"0C7","8J3","aggression","M",NA,"2017-11-02","JN","scan","agonsim.winner","AM"
"1K1","3D9","aggression","F",NA,"2017-11-03","JN","scan","agonsim.winner","AM"
"25R","7G1","aggression","M",NA,"2017-11-03","JN","scan","agonsim.winner","AM"
"93T","1K2","aggression","F",NA,"2017-11-09","JN","scan","agonsim.winner","AM"
"4K7","5K8","aggression","M",NA,"2017-11-11","JN","scan","agonsim.winner","AM"
"18I","3D9","aggression","M",NA,"2017-11-15","JN","scan","agonsim.winner","AM"
"4E2","1G0","aggression","M",NA,"2017-11-15","JN","scan","agonsim.winner","AM"
"1G1","5E8,53Z","aggression","F",NA,"2017-11-28","JN","scan","agonsim.winner","AM"
"9C1","5C6","aggression","F","F","2017-11-29","JN","scan","agonsim.winner","AM"
"2K3","7C4","aggression","M",NA,"2017-11-30","JN","scan","agonsim.winner","AM"
"2I3","85T","aggression",NA,"F","2017-12-20","JN","scan","agonsim.loser","AM"
"2G4","1I5","aggression","F","F","2018-01-03","JN","scan","agonsim.loser","AM"
"52Z","90T","aggression",NA,"F","2018-01-04","JN","scan","agonsim.loser","AM"
"2K6","2G2","aggression","F","M","2018-01-08","JN","scan","agonsim.winner","AM"
"1G1","2K1","aggression",NA,"F","2018-01-08","JN","scan","agonsim.loser","AM"
"0M4","61R","aggression","M","M","2018-01-16","JN","scan","agonsim.loser","AM"
"2K3","3D9","aggression","M",NA,"2018-01-18","JN","scan","agonsim.winner","AM"
"2K3","'5E8","aggression","M",NA,"2018-01-19","JN","scan","agonsim.winner","AM"
"7G1","2I3","aggression","F","F","2018-01-25","JN","scan","agonsim.loser","AM"
"2K3","33T","aggression","M","M","2018-01-26","JN","scan","agonsim.loser","AM"
"77I","1F2","aggression",NA,"M","2018-02-08","JN","scan","agonsim.loser","AM"
"53Z","2G2","aggression","F","M","2018-02-08","JN","scan","agonsim.loser","AM"
"93T","36V","aggression",NA,"M","2018-02-08","JN","scan","agonsim.loser","AM"
"12O","51Z","aggression",NA,"F","2018-02-08","JN","scan","agonsim.loser","AM"
"1K1","90T","aggression","F",NA,"2018-02-09","JN","scan","agonsim.winner","AM"
