id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed
1K8,F,2010,9,Z82,03T,Z82,S,NA,NA,NA,NA,3.75
88N,F,2000,19,H64,O81,H64,S,NA,NA,NA,NA,3.5
09Z,F,2003,16,46K,G07,46K,R,NA,NA,NA,NA,3.75
0I7,F,2008,11,38Z,55T,38Z,S,NA,NA,NA,NA,3.8333333333333335
0P2,F,2012,7,77V,94Z,77V,R,NA,NA,NA,NA,3.75
2B1,F,2005,14,82H,12O,82H,S,NA,NA,NA,NA,3.8333333333333335
2B4,F,2005,14,36D,85E,36D,S,NA,NA,NA,NA,4
2P0,F,2012,7,4D5,5B2,4D5,R,NA,NA,NA,NA,3.8333333333333335
3B8,F,2005,14,89L,12O,89L,S,NA,NA,NA,NA,3.75
3D1,F,2006,13,30F,84E,30F,S,NA,NA,NA,NA,3.9166666666666665
3D4,F,2006,13,51R,26P,51R,S,NA,NA,NA,NA,3.75
4H7,F,2008,11,03S,22O,03S,S,NA,NA,NA,NA,3.75
4I3,F,2009,10,82Z,20J,82Z,S,NA,NA,NA,NA,3.75
4M2,F,2011,8,77D,44T,77D,R,NA,NA,NA,NA,3.8333333333333335
4P4,F,2012,7,2D1,07D,2D1,S,NA,NA,NA,NA,4
4P9,F,2012,7,4A9,36S,4A9,S,NA,NA,NA,NA,3.8333333333333335
5A1,F,2004,15,I56,L34,I56,S,NA,NA,NA,NA,3.8333333333333335
5H6,F,2008,11,5A1,16R,5A1,S,NA,NA,NA,NA,3.9166666666666665
60V,F,2003,16,77D,80B,77D,R,NA,NA,NA,NA,3.75
7A9,F,2004,15,74K,N60,74K,S,NA,NA,NA,NA,3.8333333333333335
7F7,F,2007,12,X28,30G,X28,R,NA,NA,NA,NA,3.8333333333333335
7M9,F,2011,8,09Z,22O,09Z,R,NA,NA,NA,NA,3.8333333333333335
82V,F,2003,16,82H,57D,82H,S,NA,NA,NA,NA,3.75
8M0,F,2011,8,2D1,72T,2D1,S,NA,NA,NA,NA,3.8333333333333335
8M6,F,2011,8,4A9,11Z,4A9,S,NA,NA,NA,NA,3.9166666666666665
95V,F,2003,16,H45,25I,H45,R,NA,NA,NA,NA,3.8333333333333335
97R,F,2002,17,Z99,Z01,Z99,S,NA,NA,NA,NA,3.75
98V,F,2003,16,74K,25I,74K,S,NA,NA,NA,NA,3.6666666666666665
9I3,F,2009,10,89L,50T,89L,S,NA,NA,NA,NA,3.9166666666666665
9L6,F,2010,9,T84,88V,T84,S,NA,NA,NA,NA,4
0B4,F,2004,15,67C,13I,67C,R,NA,NA,NA,NA,3.8333333333333335
3I4,F,2009,10,2B4,20J,2B4,S,NA,NA,NA,NA,3.75
4P3,F,2012,7,1B4,43V,1B4,S,NA,NA,NA,NA,3.75
74K,F,1998,21,42A,O15,42A,S,NA,NA,NA,NA,3.75
7L1,F,2010,9,91V,11Z,91V,R,NA,NA,NA,NA,3.9166666666666665
82Z,F,2004,15,H64,77I,H64,S,NA,NA,NA,NA,3.8333333333333335
1B4,F,2005,14,74K,T88,74K,S,NA,NA,NA,NA,3.8333333333333335
2D1,F,2006,13,97R,12O,97R,S,NA,NA,NA,NA,3.9166666666666665
2D4,F,2006,13,T83,43H,T83,S,NA,NA,NA,NA,3.9166666666666665
2G8,F,2009,10,35B,11Z,35B,R,NA,NA,NA,NA,3.8333333333333335
33V,F,2004,15,50K,31I,50K,R,NA,NA,NA,NA,3.75
