id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed
14E,F,1994,22,L49,G20,L49,V,1,H,100,1405,6
2E4,F,2006,10,29J,54F,29J,V,3,H,93.33333333,2054,6.333333333333333
1K1,F,2009,7,31L,98K,31L,V,4,H,91.11111111,1111,6.166666666666667
0F0,F,2007,9,31L,61B,31L,V,5,H,88.88888889,60,6.166666666666667
5C6,F,2005,11,31L,Z46,31L,V,6,H,86.66666667,5036,6.333333333333333
9C1,F,2006,10,67F,54F,67F,V,7,H,84.44444444,9031,6.166666666666667
00V,F,2003,13,30J,51A,30J,V,8,H,82.22222222,22,6.166666666666667
2G4,F,2008,8,00V,30S,00V,V,9,H,80,2074,6.166666666666667
53Z,F,2004,12,30J,51A,30J,V,10,M,77.77777778,5326,6.333333333333333
1G1,F,2008,8,48S,61B,48S,V,11,M,75.55555556,1071,6.166666666666667
15E,F,1995,21,J41,F32,J41,V,12,M,73.33333333,1505,6.166666666666667
0K0,F,2009,7,15E,12E,15E,V,13,M,71.11111111,110,6
78I,F,1997,19,13B,L07,13B,V,14,M,68.88888889,7809,6.333333333333333
5E8,F,2008,8,78I,60L,78I,V,15,M,66.66666667,5058,6
7C4,F,2005,11,13B,17L,13B,V,16,M,64.44444444,7034,6.166666666666667
52Z,F,2004,12,78I,01K,78I,V,17,M,62.22222222,5226,6.333333333333333
2I3,F,2009,7,52Z,51A,52Z,V,18,M,60,2093,6.166666666666667
1G6,F,2008,8,52Z,30S,52Z,V,19,M,57.77777778,1076,6.166666666666667
13H,F,1997,19,J41,S76,J41,V,20,M,55.55555556,1308,6.166666666666667
1I7,F,2009,7,13H,12E,13H,V,21,M,53.33333333,1097,6.166666666666667
9E8,F,2008,8,L66,12E,L66,V,23,L,48.88888889,9058,6.166666666666667
93T,F,2003,13,L66,51A,L66,V,24,L,46.66666667,9320,6.166666666666667
45Z,F,2004,12,20C,51J,20C,V,25,L,44.44444444,4526,6.5
90T,F,2003,13,79I,72H,79I,V,26,L,42.22222222,9020,6.166666666666667
4J4,F,2009,7,90T,72O,90T,V,27,L,40,4104,6.166666666666667
2G2,F,2008,8,81E,61B,81E,V,28,L,37.77777778,2072,6.166666666666667
47Z,F,2004,12,31G,12E,31G,V,29,L,35.55555556,4726,6.166666666666667
2G3,F,2008,8,47Z,NA,47Z,V,30,L,33.33333333,2073,6.166666666666667
4C9,F,2005,11,20C,44E,20C,V,31,L,31.11111111,4039,6.166666666666667
1G0,F,2008,8,25N,41N,25N,V,32,L,28.88888889,1070,6.166666666666667
