focalID,dob,isFemale
19A,3/1/1992,1
1C5,10/22/2005,1
1E2,10/17/2006,1
21H,3/28/1997,1
2C4,11/6/2005,1
37V,11/15/2003,1
3A2,12/5/2004,1
44V,2/13/2004,1
49V,11/15/2003,1
4D8,9/29/2006,1
51V,10/29/2003,1
53E,2/12/1996,1
60R,12/3/2001,1
6D4,10/14/2006,1
74T,11/26/2002,1
76J,1/19/1999,1
83Z,12/16/2004,1
93O,12/2/2000,1
0B6,11/29/2004,1
1C7,11/23/2005,1
24V,12/9/2003,1
2C3,11/10/2005,1
55J,11/14/1998,1
62R,1/6/2002,1
6C2,10/6/2005,1
6D6,10/26/2006,1
86Z,10/19/2004,1
9C5,10/14/2006,1
25P,12/8/2000,1
6D9,11/2/2006,1
11Z,11/12/2003,0
16R,12/8/2001,0
27N,1/29/2000,0
46Z,12/28/2004,0
4F1,10/16/2007,1
73Z,10/30/2004,0
94H,1/16/1998,0
97Z,11/1/2004,0
9C8,11/11/2006,0
2D0,10/23/2006,0
2F2,11/19/2007,1
3F5,12/8/2007,1
3G3,9/12/2008,1
56K,1/8/1999,0
64S,10/26/2002,0
6B8,11/16/2005,0
7F0,9/24/2007,1
98Z,11/21/2004,0
99L,11/30/1999,0
0C7,10/25/2005,0
27J,12/28/1997,0
3F7,10/1/2007,1
5H4,9/10/2008,1
9H9,9/13/2008,1
51J,12/24/1998,0
6F1,1/13/2008,0
6A9,12/14/2004,0
60E,2/9/1996,0
0M6,8/9/2011,1
0R2,8/21/2013,0
1L1,9/26/2010,1
1M8,10/4/2011,0
1O9,10/5/2012,1
1P5,8/21/2012,0
2O4,6/26/2012,0
3M3,9/26/2011,0
3R0,8/17/2013,1
4M0,8/22/2011,0
4R4,9/2/2013,1
5J3,10/16/2009,0
5M5,9/1/2011,1
6K6,9/6/2010,1
6L1,9/9/2010,1
6L3,9/27/2010,0
6L4,9/17/2010,0
6M7,8/21/2011,1
7J7,9/19/2009,1
8I9,9/21/2009,1
9I8,9/1/2009,1
0J5,10/17/2009,1
0K8,11/21/2009,1
0Q5,12/29/2012,1
1O7,10/8/2012,1
1P0,10/9/2012,1
2J7,9/7/2009,1
3O3,9/18/2012,0
6O7,10/27/2012,1
7O3,10/9/2012,0
8C9,10/29/2006,0
8L3,9/27/2010,1
8O9,8/14/2012,1
9L9,10/27/2010,1
1S8,8/17/2013,0
1P4,8/13/2012,1
1R7,7/22/2013,0
2M4,10/4/2011,0
2O7,5/31/2012,1
3P5,10/5/2012,0
4M9,9/21/2011,1
4P6,10/8/2012,1
4R3,8/16/2013,0
5P4,11/26/2012,0
7I8,9/3/2009,1
9Q5,8/29/2013,1
1R1,8/5/2013,1
3Q3,8/19/2013,1
4Q4,9/7/2013,1
4R7,9/14/2013,0
5K0,10/26/2010,0
5Q7,8/13/2013,1
7Q3,8/21/2013,1
9N6,10/24/2011,1
2R9,10/9/2013,1
3R9,9/13/2013,1
1S5,8/5/2013,0
2R0,8/12/2013,0
3O7,9/23/2012,0
3Q9,9/2/2013,0
00V,12/14/2003,1
06O,2/5/2000,0
13H,1/17/1997,1
1G6,10/2/2008,1
2E4,10/1/2006,1
2G4,12/3/2008,1
2H6,10/17/2008,0
30J,3/8/1998,1
31I,1/23/1998,0
3H0,11/17/2008,1
45Z,11/12/2004,1
52Z,10/24/2004,1
5C6,11/21/2005,1
5E4,12/2/2007,0
77I,1/13/1998,0
7C4,11/7/2005,1
80T,2/27/2003,0
81O,11/13/2000,0
8D3,11/10/2006,0
90T,11/15/2003,1
98K,3/30/1999,0
15E,1/30/1995,1
0D3,9/23/2006,0
0F0,11/28/2007,1
12O,11/11/1999,0
18I,2/13/1998,0
1A6,10/21/2004,0
1B1,11/7/2004,0
1G0,10/18/2008,1
1G4,9/16/2008,1
2G3,11/4/2008,1
32Z,2/14/2004,0
33T,12/7/2002,0
47Z,10/8/2004,1
4C9,11/20/2005,1
4E2,10/16/2007,0
51A,12/15/1992,0
51Z,11/1/2004,1
5E8,1/15/2008,1
78I,12/15/1997,1
81E,12/3/1995,1
85T,10/31/2003,1
98J,11/30/1998,1
9C1,10/26/2006,1
T03,2/23/1989,1
12E,1/30/1995,0
14E,12/13/1994,1
19T,11/4/2002,0
1B0,11/16/2004,1
1F9,9/12/2007,0
1G1,11/3/2008,1
1G2,10/26/2008,1
1G8,12/9/2008,0
25R,12/9/2001,0
