,dens,dens.w,gini,gini.w,kcomm,clust.w,dens.f,dens.f.w,gini.f,gini.f.w,kcomm.f,clust.f.w,dens.m,dens.m.w,gini.m,gini.m.w,eo.FF,eo.MM,eo.cross,eo.ck,eo.dk,eo.u,kinDegree,group,isPost,quarter,netID
1,0.038186813,5.15521978,0.310882722,0.324656085,11,0.159947342,0.069767442,2.874418605,0.212255445,0.216527433,7,0.192290249,0.02194606,0.610100476,0.40128255,0.460895799,1.845305771,0.594582525,1.001250313,13.46617601,4.825521248,0.543917378,0.188806796,groupV,1,2,groupV.1.2
2,0.038461538,5.276923077,0.322698413,0.330070804,9,0.178514757,0.073643411,3.137209302,0.213673719,0.24041926,7,0.199686766,0.025383395,0.746271814,0.381384409,0.406188282,1.877415418,0.618720254,0.973253517,13.35756474,3.60626876,0.575668778,0.182670423,groupV,1,2,groupV.1.2
3,0.036630037,2.73909304,0.311190476,0.344173744,10,0.167244536,0.073089701,1.827228638,0.192565187,0.218192309,6,0.193725449,0.02141724,0.280801428,0.330147352,0.401996354,2.021492661,0.506252872,1.004226537,10.90648234,4.217221067,0.634227089,0.162137812,groupV,1,2,groupV.1.2
4,0.039285714,8.917825714,0.31015651,0.321754051,10,0.173484688,0.079180509,5.885730349,0.209952838,0.213995808,6,0.193316697,0.023796933,1.118452036,0.372043011,0.426447993,1.979988353,0.597823753,0.953333008,11.00428238,4.457664086,0.625695343,0.160898455,groupV,1,2,groupV.1.2
5,0.036263736,8.002168912,0.307359307,0.321436193,12,0.167714301,0.072535991,4.980785382,0.196875555,0.218221234,8,0.1781835,0.022474881,0.958924286,0.35199241,0.409401318,1.881542379,0.558281021,1.014725364,12.77564386,3.728808807,0.590097896,0.175720336,groupV,1,2,groupV.1.2
6,0.038919414,8.964405128,0.300705882,0.333443911,10,0.162352483,0.07530454,5.447006334,0.176812585,0.237274184,8,0.215120897,0.024854574,1.151590719,0.348833219,0.399861574,1.898831495,0.580814911,0.992886033,13.76694563,3.53978521,0.565056497,0.185287944,groupV,1,2,groupV.1.2
7,0.039468864,3.851058807,0.3166059,0.327755226,11,0.173257404,0.07751938,2.447415504,0.202325581,0.21772023,8,0.200896024,0.023268112,0.42215266,0.357771261,0.402589214,1.956486209,0.536888347,1.004515037,11.10379137,5.31579633,0.602662548,0.165133654,groupV,1,2,groupV.1.2
8,0.038461538,3.197115385,0.307324263,0.315775152,9,0.173479561,0.07751938,2.122093023,0.192026578,0.203143252,6,0.185351271,0.024590164,0.411885246,0.341311134,0.398772268,1.991257213,0.581814133,0.960871797,11.04286346,5.364361105,0.603337317,0.16696895,groupV,1,2,groupV.1.2
9,0.037728938,2.850610267,0.307975035,0.308571829,9,0.14695109,0.066445183,1.461784053,0.216472868,0.214118521,7,0.153994205,0.023003702,0.35272059,0.357248795,0.421810083,1.760602624,0.585963994,1.036053233,13.83069815,3.423051702,0.565892518,0.187082011,groupV,1,2,groupV.1.2
10,0.038644689,26.58754579,0.321484992,0.355024917,10,0.183855477,0.079180509,18.60741971,0.184582859,0.236120732,5,0.225644459,0.02168165,2.64516129,0.372344611,0.450423057,2.065305571,0.512003001,0.9853081,12.71242279,5.575950471,0.548764815,0.185646809,groupV,1,2,groupV.1.2
11,0.038095238,12.76190476,0.307348901,0.323894812,11,0.163712375,0.070874862,7.22923588,0.213662791,0.222982216,5,0.254051686,0.023268112,1.442622951,0.398826979,0.436914672,1.841027421,0.534377294,1.045403142,12.20351044,4.429845709,0.590702724,0.185022549,groupV,1,2,groupV.1.2
12,0.038461538,3.346153846,0.311111111,0.32605364,10,0.162825454,0.072535991,1.96753876,0.181253329,0.208552138,8,0.168455822,0.024325754,0.41657853,0.377629734,0.431951966,1.885191125,0.568345521,1.006350726,11.9640999,4.372686409,0.599155661,0.173899539,groupV,1,2,groupV.1.2
13,0.038369963,8.505309394,0.303807251,0.325141782,9,0.17299554,0.07530454,5.170889435,0.177325581,0.184579787,7,0.184523925,0.023532522,1.027583599,0.36661834,0.42132571,1.873053792,0.568788836,1.010147313,12.25771218,4.825526742,0.579835158,0.173492245,groupV,1,2,groupV.1.2
14,0.036721612,8.066487724,0.313715711,0.344663958,9,0.173838979,0.07530454,5.622718937,0.212209302,0.224564438,7,0.212797695,0.023796933,1.023264543,0.400716846,0.448362933,2.055262802,0.56520411,0.950974013,13.33672689,4.034328093,0.566274076,0.190784811,groupV,1,2,groupV.1.2
15,0.037820513,6.363301282,0.304070103,0.339022147,8,0.157497126,0.070874862,3.455149502,0.202761628,0.219677996,7,0.150943396,0.023268112,0.727128503,0.310483871,0.376,1.751961021,0.53628551,1.074217291,12.03722084,3.475725095,0.617965927,0.167296923,groupV,1,2,groupV.1.2
16,0.037087912,3.240556319,0.31127572,0.318645684,10,0.170167202,0.071428571,1.991071429,0.199387056,0.216498071,6,0.186666667,0.02194606,0.37856954,0.38321026,0.44226274,1.929001564,0.570036972,0.990311956,13.71546362,3.849794163,0.559334276,0.1866713,groupV,1,2,groupV.1.2
